,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,100.69,,"263,448.20"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,22.25,,"263,470.45"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,205.84",,"264,676.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,619.53,,"265,295.82"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"-1,205.84",,"264,089.98"
,,,,,,Bill,,05/05/2025,,INV# 1008 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1008 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"281,547.10"
,,,,,,Bill,,05/08/2025,,refund expenses,,Erwin Davila.,,refund expenses HHA-Vivian Villas Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,609.40,,"282,156.50"
,,,,,,Bill,,05/08/2025,,INV# 2172,,Esquema Builders,,INV# 2172 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"4,501.00",,"286,657.50"
,,,,,,Bill,,05/09/2025,,refund expenses,,Erwin Davila.,,refund expenses HHA-Vivian Villas Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,632.73",,"288,290.23"
,,,,,,Bill,,05/12/2025,,INV# 1009 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1009 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"305,747.35"
,,,,,,Bill,,05/13/2025,,APR/14 - MAY/13/2025,,Home Depot Credit Services,,INV# 9974337,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"3,273.67",,"309,021.02"
,,,,,,Bill,,05/13/2025,,APR/14 - MAY/13/2025,,Home Depot Credit Services,,INV# 6904776,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,79.01,,"309,100.03"
,,,,,,Bill,,05/19/2025,,INV# 33 PO# 1388,,Argo Power Service,,INV# 33 PO# 1388  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"12,637.00",,"321,737.03"
,,,,,,Bill,,05/23/2025,,INV# 1010 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1010 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"339,194.15"
,,,,,,Bill,,05/23/2025,,INV# FC-1023,,"FULL CONSTRUCTION, LLC",,INV# FC-1023,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"8,902.69",,"348,096.84"
,,,,,,Bill,,05/27/2025,,INV# 1011 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1011 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"365,553.96"
,,,,,,Bill,,05/28/2025,,Plumbing service,,Signature Design Plans Corp.,,Plumbing service,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,200.00",,"366,753.96"
,,,,,,Bill,,05/30/2025,,gas refund,,GAS,,gas refund,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,18.27,,"366,772.23"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,77.00,,"366,849.23"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,99.31,,"366,948.54"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,41.00,,"366,989.54"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,57.29,,"367,046.83"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,42.39,,"367,089.22"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,7.63,,"367,096.85"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,3.25,,"367,100.10"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Costco,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,138.20,,"367,238.30"
